status	base_mode	working_mode	base_blob	working_blob	path	upstream_change	default_decision
M	100644	100644	c1e874d719fe032ee272d0e90ce8919c1960c32a	50b2d78a7373d8be5ae9cc3ebf8bd398525138e8	.env.example	yes:M	three-way-preserve-musuw
D	100644	000000	1f7bce20da3266a48be55ce9c75429a8b1de51f2	0000000000000000000000000000000000000000	.github/workflows/app.yml	yes:M	three-way-preserve-musuw
D	100644	000000	e4602a0f23807b1c1bca22cb8cfaff3636710c25	0000000000000000000000000000000000000000	.github/workflows/cli-e2e.yml	no	preserve-local-deletion
D	100644	000000	1227dd76ef551c68e18769b8afae25b0995b7ef2	0000000000000000000000000000000000000000	.github/workflows/cli.yml	yes:M	three-way-preserve-musuw
D	100644	000000	fe1a8669b3d156f5078b8a5bd7afb8b20d2f3215	0000000000000000000000000000000000000000	.github/workflows/docker-image.yml	yes:M	three-way-preserve-musuw
D	100644	000000	93ece72bd5952ec3ba3690b9a6ae4fc80bce1baf	0000000000000000000000000000000000000000	.github/workflows/docreader.yml	yes:M	three-way-preserve-musuw
D	100644	000000	14df10f217624bfeba937d61f423ca76db76504f	0000000000000000000000000000000000000000	.github/workflows/frontend.yml	no	preserve-local-deletion
D	100644	000000	07ede56f80abe4e86a36553888e6a7ad98ba232c	0000000000000000000000000000000000000000	.github/workflows/mcp-server.yml	no	preserve-local-deletion
D	100644	000000	6a48c13132d953185c66614e88812fff1a72215d	0000000000000000000000000000000000000000	.github/workflows/release-lite.yml	no	preserve-local-deletion
M	100644	100644	1423ddab11659dc7d3aa35a8d560122ac7e03cec	b26303eca3e04ad9deed3dcf5bc941d1f5d81d18	.gitignore	yes:M	three-way-preserve-musuw
M	100644	100644	acad8462c6fc14f2f2cb02c4a9f97fbbf776f878	3bb44243e57911fc961dfbb35a26b27cdd95d9a1	Makefile	yes:M	three-way-preserve-musuw
M	100755	100755	464bab7b305f1cc2aec880c56749ecb71a8af93a	2b34c40813b219164b5f4e1c6cd7c82db6ed2529	cli/scripts/check-secret-tokens.sh	no	preserve-local-modification
M	100644	100644	5afd8f9e8172102a63850f81137414403e6701c9	54b7fca3804d6789981da0ed2a9dad623f435e8a	client/tenant.go	yes:M	three-way-preserve-musuw
D	100644	000000	654185a187fa3e6af5b90ad5a93674966cbfdfcf	0000000000000000000000000000000000000000	cmd/desktop/app.go	no	preserve-local-deletion
D	100644	000000	63617fe4f746b8a878bd5f44725f4f317b9d9850	0000000000000000000000000000000000000000	cmd/desktop/build/appicon.png	no	preserve-local-deletion
D	100644	000000	d17a7475c585599a6928cc2af63a1dcbae7ee6c9	0000000000000000000000000000000000000000	cmd/desktop/build/darwin/Info.plist	no	preserve-local-deletion
D	100644	000000	b5c0efd1a2706e4b7a84056d479529c47ce435e4	0000000000000000000000000000000000000000	cmd/desktop/main.go	no	preserve-local-deletion
D	100644	000000	650d377d535b26f022a328b525cb46962d2e718e	0000000000000000000000000000000000000000	cmd/desktop/main_bindings.go	no	preserve-local-deletion
D	100644	000000	45a1a63501f2d02167a546448a73a09a15af969a	0000000000000000000000000000000000000000	cmd/desktop/prefs.go	no	preserve-local-deletion
D	100644	000000	a1bd868402b31352bf80a3d815cd3c00beb8cff3	0000000000000000000000000000000000000000	cmd/desktop/update.go	no	preserve-local-deletion
D	100644	000000	72932f447823a63a4fb7df3b187097ac24c9349f	0000000000000000000000000000000000000000	cmd/desktop/wails.json	no	preserve-local-deletion
M	100644	100644	22b0ce52767d37344fe5eb52bbd892cc0665c819	6e1c7e2cec24a4e8a5ef2f58f5a201ec697fc4cc	config/builtin_agents.yaml	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	25b3eca7bea042f0cba1bf8ab1f0d82cbcb962d5	config/builtin_models.yaml	no	preserve-local-addition
M	100644	100644	c6b69f3c1d9039d52e0215f3de87d868269157ac	7ca9102c7f55b6a71c13ac975e86184427b86b73	config/config.yaml	no	preserve-local-modification
M	100644	100644	f46f72d36b747989ab6569e7730288b9f957424a	277ca8b093c8ed935d2a926fdea4fd3fd6932f90	config/prompt_templates/agent_system_prompt.yaml	yes:M	three-way-preserve-musuw
M	100644	100644	66036a407834b96e9f1b39626c23f7f77ce2a914	64568a5c9551afbc21850093ba5feb54461b59eb	config/prompt_templates/fallback.yaml	no	preserve-local-modification
M	100644	100644	4d600f16e157e55103beb491938ca30a39b91e1d	d4f952c792260e08cb83bcc03b64b1de76eb2bf2	config/prompt_templates/intent_prompts.yaml	no	preserve-local-modification
M	100644	100644	2cd239b00bcb30f11979267dfe3a9b1c482ebb84	3ae504933a8b5b7579b8e15a8822826555561e54	config/prompt_templates/system_prompt.yaml	no	preserve-local-modification
