path	musuw_change	upstream_change	final_mode	final_blob	resolution	mapped_target_path	evidence
.air.toml	-	M	100644	5a4065be7433ce5bf2f64e47ce70d4e211b12b9d	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
.env.example	M	M	100644	f3dd0f74ddc25cfe82290f9eed87ff5e70d55baa	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
.github/workflows/anydoc.yml	-	A	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		Musuw root CI builds audits vets and tests AnyDoc; the vendored nested workflow remains intentionally absent
.github/workflows/app.yml	D	M	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		Musuw root CI is the sole application build authority; vendored nested workflow remains intentionally absent
.github/workflows/cli-e2e.yml	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
.github/workflows/cli.yml	D	M	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		Musuw root CI validates the vendored CLI; vendored nested workflow remains intentionally absent
.github/workflows/docker-image.yml	D	M	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		Musuw root delivery builds the product runtime images; vendored nested publisher remains intentionally absent
.github/workflows/docreader.yml	D	M	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		Musuw root CI validates active DocReader directly; vendored nested workflow remains intentionally absent
.github/workflows/dsh-plugin.yml	-	A	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		Musuw root CI validates the DSH package and pinned harness E2E; upstream npm publishing is not a Musuw release authority
.github/workflows/frontend.yml	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
.github/workflows/go-lint-cache.yml	-	A	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		Musuw root CI owns Go caches and release gates; the vendored cache-only workflow remains intentionally absent
.github/workflows/go-lint.yml	-	A	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		Musuw root CI runs root CLI and client vet build tests plus new-findings golangci-lint; the vendored nested workflow remains intentionally absent
.github/workflows/mcp-server.yml	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
.github/workflows/release-lite.yml	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
.gitignore	M	M	100644	9804585db88832a44ef732c9c552d4baf2c6eb20	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
.golangci.yml	-	M	100644	63b35f01f000c06ceb672ae5783f5a2f271cb22a	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
Makefile	M	M	100644	ec7d4268b4e7f2e1ad0791c3fbfd0ef23ed994e4	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
README.md	-	M	100644	c732ddb3741cfcc61252872bf92fcd69b7e38697	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
README_CN.md	-	M	100644	e95ef83803a18bf999b9bc46696fc26990cae0db	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
README_JA.md	-	M	100644	ccfa3b606338f0ff4186a1f27ddc5e79bf382041	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
README_KO.md	-	M	100644	0aea145855f8482dce3b695d26499db0f748adcc	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/AGENTS.md	-	M	100644	6aef3641b79ec9a0c4b446722e91d2c668bdf73b	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/acceptance/testdata/wire/kb_list.success.json	-	M	100644	7882032b6e061193937a08889a238f4ef29bbdab	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/acceptance/testdata/wire/kb_view.success.json	-	M	100644	d00ac6db89e678e54c8855be7d891a8c5a2c8742	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/agent/edit.go	-	M	100644	40a9fb7838913a5802bb680d9c00945d3e198f39	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/agent/edit_test.go	-	M	100644	67592b96a7c7ec0c7005d133438bb429e19a503e	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/chat/chat.go	-	M	100644	68dc2b3900994cfa0942aeade87f4769f98a7887	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/chat/chat_test.go	-	M	100644	d28f06a0701dc6bd55cea2f9379b155602e83da3	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/message/list.go	-	M	100644	38cf52590d21fcfa3fb5309474317e863168388d	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/message/list_test.go	-	M	100644	38812654397b460ce4fc14f8e46059ad5c697945	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/session/ask.go	-	M	100644	b2d4493c91e33347955f8386da7200b7b87c02d3	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/session/ask_test.go	-	M	100644	5b98742b0ae347b7fa2bfa1f1172c8882eb005a0	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/session/resume.go	-	M	100644	3357a1f74bdb66babee6693fc165e4a9ff00bbbf	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/session/resume_test.go	-	M	100644	351516adbbec8884ace1d56b2dc6fe3dd73a6954	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/session/view.go	-	M	100644	0adb800f87fe9eab5be719dbd142e7bc46ca4966	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/cmd/session/view_test.go	-	M	100644	817e606677e26f885f1cd06bddfde5bdc312fa17	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/internal/cmdutil/confirm.go	-	M	100644	7473906f927ed1dc987dc213d7d8bb3c34dadfb8	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/internal/cmdutil/confirm_test.go	-	M	100644	48f32b7f9281bb405db7dfb71e99117709a9cb9b	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/internal/cmdutil/errors_doc_test.go	-	M	100644	32ffa40aa4b72c259fe8d0b00f4570a5dd3436ca	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/internal/cmdutil/exit.go	-	M	100644	2acac1c80e6e2390cfcac45ec71d9c01fd899c0a	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
cli/internal/mcp/tools.go	-	M	100644	d70024cb711e7ed4b344e75082d78fee64ac7b55	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
cli/internal/mcp/tools_test.go	-	M	100644	71a1a25be1fd6ce8e76acb6a46ced0e140ec66b1	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
cli/scripts/check-secret-tokens.sh	M	-	100755	2b34c40813b219164b5f4e1c6cd7c82db6ed2529	preserve-musuw-exact		audited local-only content is byte-identical
cli/scripts/check-skill-wire-vocab.sh	-	M	100755	c3eb588d1f08cd2fc2cc701328fb3fe08c2f62bf	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/README.md	-	M	100644	7b1c0456fdd4471ff016003d3a3d86b5092e7601	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/README_EN.md	-	M	100644	2527fe2a69b97deb86839c446f7a2f81342606ae	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/agent.go	-	M	100644	dc6d64f0e5f2cb516a88de7159575f391b4d91a1	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/auth.go	-	M	100644	c22f6178a023d7ca107d5dff1c63d8bd26a38705	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/env_var.go	-	A	100644	df9eb3be361da2f19183b266d10b66aa8a292551	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/initialization.go	-	M	100644	e4de9205ec81dedd19176158e6874c9dc2085f2d	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/knowledgebase.go	-	M	100644	dbf2186f9de5e8fe70353fae16c3a50bc2a16763	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/resource_urls.go	-	M	100644	57f3adb5fea93761419d2b6f25ba0950536f4983	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/skill.go	-	M	100644	013df99c2bca20205a139d16077540821de223a5	adapt-upstream-for-musuw		fixed-target path is present with Musuw product/runtime adaptation
client/system.go	-	M	100644	4780b1e436ba5240e35849a5133c469e9a78be7b	adopt-upstream-exact		fixed-target upstream-only content is byte-identical
client/tenant.go	M	M	100644	14eb97f3dcd1f345c4bf46e4e2f29cac6fade63c	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
cmd/desktop/app.go	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
cmd/desktop/build/appicon.png	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
cmd/desktop/build/darwin/Info.plist	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
cmd/desktop/main.go	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
cmd/desktop/main_bindings.go	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
cmd/desktop/prefs.go	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
cmd/desktop/update.go	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
cmd/desktop/wails.json	D	-	000000	0000000000000000000000000000000000000000	preserve-musuw-deletion		audited local-only deletion remains authoritative
config/builtin_agents.yaml	M	M	100644	33dcce8b4b629884ccb580857fb1b0cbde876b06	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
config/builtin_models.yaml	A	-	100644	5a01b945fb3a42832051c9855fe08612007e90aa	adapt-musuw-for-target		audited Musuw path retained and adapted at its existing owner for the target contract
config/config.yaml	M	-	100644	7ca9102c7f55b6a71c13ac975e86184427b86b73	preserve-musuw-exact		audited local-only content is byte-identical
config/prompt_templates/agent_system_prompt.yaml	M	M	100644	44f51813d39ec30fba521073ce3748261c3ff61c	compose-three-way		overlap review composed target capability with Musuw product semantics at the existing owner
config/prompt_templates/fallback.yaml	M	-	100644	64568a5c9551afbc21850093ba5feb54461b59eb	preserve-musuw-exact		audited local-only content is byte-identical
