status	base_mode	target_mode	base_blob	target_blob	path	local_change	default_decision
M	100644	100644	a19ce7202e0de3b9b12e231ce007b9fa69346a5c	5a4065be7433ce5bf2f64e47ce70d4e211b12b9d	.air.toml	no	adopt-upstream
M	100644	100644	c1e874d719fe032ee272d0e90ce8919c1960c32a	22f37568712a5de2a53848827ea47d7866546991	.env.example	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	3217cb3b8f2972e8b97f5d17d0b03913c1a99cc3	.github/workflows/anydoc.yml	no	adopt-upstream
M	100644	100644	1f7bce20da3266a48be55ce9c75429a8b1de51f2	c525c7bab0d3cebd9cc66a6f4d5ee3ce66ac3dfc	.github/workflows/app.yml	yes:D	three-way-preserve-musuw
M	100644	100644	1227dd76ef551c68e18769b8afae25b0995b7ef2	f154e1bc6914e9ce3eb09dbc594c5ff3a8ebd521	.github/workflows/cli.yml	yes:D	three-way-preserve-musuw
M	100644	100644	fe1a8669b3d156f5078b8a5bd7afb8b20d2f3215	19f560cebd3dc0b8431384e06675d9028e72153f	.github/workflows/docker-image.yml	yes:D	three-way-preserve-musuw
M	100644	100644	93ece72bd5952ec3ba3690b9a6ae4fc80bce1baf	ff78a1c7d3baf8ee61743dfa280b8f23870191bf	.github/workflows/docreader.yml	yes:D	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	f92ed64a827f72af9ce9c226b1aa135b7d8f8568	.github/workflows/dsh-plugin.yml	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	780f62d42716a28be14186fb2071e25df596831c	.github/workflows/go-lint-cache.yml	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	401a7fbbb86ddb069b01929aece2535c46384e01	.github/workflows/go-lint.yml	no	adopt-upstream
M	100644	100644	1423ddab11659dc7d3aa35a8d560122ac7e03cec	88998fb78263bd9fee09497f225b2c7bdc725b54	.gitignore	yes:M	three-way-preserve-musuw
M	100644	100644	cf49aee758abeafa734ffd04df7941fd43ac630a	63b35f01f000c06ceb672ae5783f5a2f271cb22a	.golangci.yml	no	adopt-upstream
M	100644	100644	acad8462c6fc14f2f2cb02c4a9f97fbbf776f878	f169c931491d3835a368e284b89a1b219535b053	Makefile	yes:M	three-way-preserve-musuw
M	100644	100644	d956ee04589e8527aaadecea474a58f1c13e6c9b	c732ddb3741cfcc61252872bf92fcd69b7e38697	README.md	no	adopt-upstream
M	100644	100644	b6be71fefd7d31dff75b6aaa7667af964856aefe	e95ef83803a18bf999b9bc46696fc26990cae0db	README_CN.md	no	adopt-upstream
M	100644	100644	819f965f2721c2c6a530569fd384010ebc1fe1f2	ccfa3b606338f0ff4186a1f27ddc5e79bf382041	README_JA.md	no	adopt-upstream
M	100644	100644	f772933832f983f3b12de9b9090f1532880fc196	0aea145855f8482dce3b695d26499db0f748adcc	README_KO.md	no	adopt-upstream
M	100644	100644	3fc0fee2ed22beaa5457728430eccb5ff59e3e3a	6aef3641b79ec9a0c4b446722e91d2c668bdf73b	cli/AGENTS.md	no	adopt-upstream
M	100644	100644	8f4247dd613179d4bac7919cfe261115505cf628	7882032b6e061193937a08889a238f4ef29bbdab	cli/acceptance/testdata/wire/kb_list.success.json	no	adopt-upstream
M	100644	100644	e505b699fdcb688c1bac4de57bd03a8b9d9db916	d00ac6db89e678e54c8855be7d891a8c5a2c8742	cli/acceptance/testdata/wire/kb_view.success.json	no	adopt-upstream
M	100644	100644	dcd1cc91bda5e8131f597ca8b2d2ca0774a6454e	40a9fb7838913a5802bb680d9c00945d3e198f39	cli/cmd/agent/edit.go	no	adopt-upstream
M	100644	100644	b76881d6640ac1d1686f4947b5d659655c67e58e	67592b96a7c7ec0c7005d133438bb429e19a503e	cli/cmd/agent/edit_test.go	no	adopt-upstream
M	100644	100644	45a30f0f129bdab1621a7b69d26df5686e8459bb	68dc2b3900994cfa0942aeade87f4769f98a7887	cli/cmd/chat/chat.go	no	adopt-upstream
M	100644	100644	b85cb5f1401c2821d0d97add97082ef100618ec9	d28f06a0701dc6bd55cea2f9379b155602e83da3	cli/cmd/chat/chat_test.go	no	adopt-upstream
M	100644	100644	d19dc3657e21326f292fa8c703d177aedd7b6fe3	38cf52590d21fcfa3fb5309474317e863168388d	cli/cmd/message/list.go	no	adopt-upstream
M	100644	100644	2807026bda3a1aecd5c88e1f73535d9aa08acfc8	38812654397b460ce4fc14f8e46059ad5c697945	cli/cmd/message/list_test.go	no	adopt-upstream
M	100644	100644	726cbf2ea882acdffc80bd5a705989dc84cb4eb3	b2d4493c91e33347955f8386da7200b7b87c02d3	cli/cmd/session/ask.go	no	adopt-upstream
M	100644	100644	58ad2258aed5ee7f00688f0adbcd93b9ebc2ca7c	5b98742b0ae347b7fa2bfa1f1172c8882eb005a0	cli/cmd/session/ask_test.go	no	adopt-upstream
M	100644	100644	cb5362b02da18107a6712e116d635194244804c7	3357a1f74bdb66babee6693fc165e4a9ff00bbbf	cli/cmd/session/resume.go	no	adopt-upstream
M	100644	100644	6f5f34ab9836978efddb738c80a852c7735c92ce	351516adbbec8884ace1d56b2dc6fe3dd73a6954	cli/cmd/session/resume_test.go	no	adopt-upstream
M	100644	100644	0681fc244a583e61c68b262eb917f1afc512f9d2	0adb800f87fe9eab5be719dbd142e7bc46ca4966	cli/cmd/session/view.go	no	adopt-upstream
M	100644	100644	4e1268483daf2b906124cb812aff084e427003b9	817e606677e26f885f1cd06bddfde5bdc312fa17	cli/cmd/session/view_test.go	no	adopt-upstream
M	100644	100644	73243204854749845c4171be60fbbb8b5974ab01	7473906f927ed1dc987dc213d7d8bb3c34dadfb8	cli/internal/cmdutil/confirm.go	no	adopt-upstream
M	100644	100644	ac16a62175022579b7cb0e8863d376c1698fa928	48f32b7f9281bb405db7dfb71e99117709a9cb9b	cli/internal/cmdutil/confirm_test.go	no	adopt-upstream
M	100644	100644	13833fd289396fdbab3e3baa71629be2fcedf7fe	32ffa40aa4b72c259fe8d0b00f4570a5dd3436ca	cli/internal/cmdutil/errors_doc_test.go	no	adopt-upstream
M	100644	100644	2f189194bbd05d89f885582ee98d55d97c0c6b0c	2acac1c80e6e2390cfcac45ec71d9c01fd899c0a	cli/internal/cmdutil/exit.go	no	adopt-upstream
M	100644	100644	e160c2c7d1e2c585d8abff6d0a19206c50871a58	f08432d94bf32320d15cf11740aba88ee1bd3bc1	cli/internal/mcp/tools.go	no	adopt-upstream
M	100644	100644	53aa2fa2fdb68249b132b3a672de1f98cc1846ee	96eebe252e878d4cae485aab0a9207cd46cd4f19	cli/internal/mcp/tools_test.go	no	adopt-upstream
M	100755	100755	068bd0f3c5752460c49b0dfbccb1c7ccc9132f5b	c3eb588d1f08cd2fc2cc701328fb3fe08c2f62bf	cli/scripts/check-skill-wire-vocab.sh	no	adopt-upstream
M	100644	100644	230ab29d867d8e5339eb0a03fcdfc9a01f17d7f4	7b1c0456fdd4471ff016003d3a3d86b5092e7601	client/README.md	no	adopt-upstream
M	100644	100644	cd7ae962fc2f495803108367be95e61c2c0b1eee	2527fe2a69b97deb86839c446f7a2f81342606ae	client/README_EN.md	no	adopt-upstream
